authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Uhen","M. Uhen",,16938,Q.,Ji,Z.-X.,Luo,"C.-X. Yuan, A. R. Tabrum",2006,"A swimming mammaliaform from the middle Jurassic and ecomorphological diversification of early mammals",Science,,311,,1123,1127,"journal article","stated without evidence",English,,,,,"2006-03-21 12:16:43","2006-03-22 07:16:49"
"R. Butler","R. Butler",,59175,S.,Jiang,X.,Wang,"X. Cheng, F. R. Costa, J. Huang, A. W. A. Kellner",2015,"Short note on an anurognathid pterosaur with a long tail from the Upper Jurassic of China","Historical Biology",,27,6,718,722,"journal article","none discussed",English,,,,,"2016-05-18 03:16:18","2016-05-18 18:16:18"
"R. Benson","R. Benson",,38914,Z.,Kielan-Jaworowska,"L. A.",Nessov,,1992,"Multituberculate mammals from the Cretaceous of Uzbekistan","Acta Palaeontologica Polonica",,37,1,1,17,"journal article","stated without evidence",English,,,,,"2011-12-20 02:39:02","2011-12-20 02:39:02"
"M. Carrano","M. Carrano",,52405,Q.,Li,"J. A.",Clarke,"K.-Q. Gao, C.-F. Zhou, Q. Meng, D. Li, L. D'Alba, M. D. Shawkey",2014,"Melanosome evolution indicates a key physiological shift within feathered dinosaurs",Nature,,507,,350,353,"journal article","stated without evidence",English,10.1038/nature12973,,,,"2014-08-25 14:31:21","2014-08-26 05:31:21"
"M. Carrano","M. Carrano",,27831,Z.-X.,Luo,Q.,Ji,"C.-X. Yuan",2007,"Convergent dental adaptations in pseudo-tribosphenic and tribosphenic mammals",Nature,,450,,93,97,"journal article","stated without evidence",English,10.1038/nature06221,,ETE,,"2008-08-01 10:16:07","2008-08-02 03:16:07"
"M. Carrano","M. Carrano",,30706,J.,Lü,,,,2009,"A new non-pterodactyloid pterosaur from Qinglong County, Hebei Province of China","Acta Geologica Sinica",,83,2,189,199,"journal article","stated with evidence",English,,,ETE,,"2009-09-13 21:51:18","2009-09-14 14:51:18"
"R. Butler","R. Butler","R. Butler",38026,J.,Lü,X.,Bo,,2011,"A new rhamphorhynchid pterosaur (Pterosauria) from the Middle Jurassic Tiaojishan Formation of western Liaoning, China","Acta Geologica Sinica",,86,5,977,983,"journal article","stated with evidence",English,,,,,"2011-10-05 18:27:56","2011-10-05 18:41:28"
"R. Butler","R. Butler",,32590,J.-C.,Lü,X.-H.,Fucha,"J.-M. Chen",2010,"A new scaphognathine pterosaur from the Middle Jurassic of western Liaoning, China","Acta Geoscientica Sinica",,31,2,263,266,"journal article","stated with evidence",English,,,,,"2010-05-07 02:46:10","2010-05-07 19:46:10"
"R. Butler","R. Butler",,35167,J.,Lü,X.,Fucha,,2010,"A new pterosaur (Pterosauria) from Middle Jurassic Tiaojishan Formation of western Liaoning, China","Global Geology",,13,,113,118,"journal article","stated with evidence",English,,,,,"2011-02-15 20:21:26","2011-02-15 20:21:26"
"R. Benson","R. Benson","M. Carrano",44336,J.,Lü,"D. W. E.",Hone,,2012,"A new Chinese anurognathid pterosaur and the evolution of pterosaurian tail lengths","Acta Palaeontologica Sinica",,86,6,1317,1325,"journal article","stated with evidence",English,10.1111/1755-6724.12002,,,,"2013-01-18 17:30:18","2013-09-20 08:16:13"
"R. Butler","R. Butler","R. Butler",31222,J.,Lü,"D. M.",Unwin,"X. Jin, Y. Liu, Q. Ji",2010,"Evidence for modular evolution in a long-tailed pterosaur with a pterodactyloid skull","Proceedings of the Royal Society B",,277,,383,389,"journal article","stated with evidence",English,10.1098/rspb.2009.1603,,,,"2009-11-23 05:31:30","2010-02-06 02:35:55"
"R. Butler","R. Butler",,34847,J.,Lü,"D. M.",Unwin,"D. C. Deeming, X. Jin, Y. Liu, Q. Ji",2011,"An egg-adult association, gender, and reproduction in pterosaurs",Science,,331,6015,321,324,"journal article","none discussed",English,10.1126/science.1197323,,,,"2011-01-21 18:54:37","2011-01-21 18:54:37"
"M. Carrano","M. Carrano",,39769,J.,Lü,"D. M.",Unwin,"B. Zhao, C. Gao, C. Shen",2012,"A new rhamphorhynchid (Pterosauria: Rhamphorhynchidae) from the Middle/Upper Jurassic of Qinglong, Hebei Province, China",Zootaxa,,3158,,1,19,"journal article","stated with evidence",English,,,,,"2012-01-26 06:37:25","2012-01-26 06:37:25"
"M. Carrano","M. Carrano",,37985,J.,Lü,L.,Xu,"H. Chang, X. Zhang",2011,"A new darwinopterid pterosaur from the Middle Jurassic of western Liaoning, northeastern China and its ecological implications","Acta Geologica Sinica",,85,3,507,514,"journal article","stated with evidence",English,10.1111/j.1755-6724.2011.00444.x,,,,"2011-10-04 07:58:13","2011-10-04 07:58:13"
"J. Alroy","J. Alroy",,19497,J.,Meng,Y.,Hu,"Y. Wang, X. Wang, C. Li",2006,"A Mesozoic gliding mammal from northeastern China",Nature,,444,,889,893,"journal article","stated with evidence",English,,,,,"2006-12-29 10:34:09","2006-12-30 05:34:13"
"P. Mannion","J. Tennant",,54581,Q.-J.,Meng,Q.,Ji,"Y.-G. Zhang, D. Liu, D. M. Grossnickle, Z.-X. Luo",2015,"An arboreal docodont from the Jurassic and mammaliaform ecological diversification",Science,,347,6223,764,768,"journal article","stated with evidence",English,,,,,"2015-03-11 05:12:18","2015-03-11 21:12:18"
"M. Carrano","M. Carrano",,38128,"L. A.",Nessov,,,,1981,"Nakhodka cheliusti nazemnoi Iashcheritsy v verkhnem melu Uzbekistana [The discovery of a terrestrial lizard jaw in the Upper Cretaceous of Uzbekistan]","Vestnik Leningradskogo Universiteta",,2,,105,107,"journal article","stated with evidence",Russian,,,,,"2011-10-13 07:45:01","2011-10-13 07:45:01"
"M. Carrano","M. Carrano",,38127,"L. A.",Nessov,,,,1982,"Drevneishie mlekopitaiushchie SSSR [Ancient mammals of the USSR]","Palyentologicheskogo Obshchyestva",,25,,228,243,"journal article","stated with evidence",Russian,,,,,"2011-10-13 07:24:09","2011-10-13 07:24:09"
"R. Benson","R. Benson",,41769,"L. A.",Nessov,,,,1984,"Data on late Mesozoic turtles from the USSR","Studia Geologica Salamanticensia, vol. especial 1 (Studia Palaeocheloniologica I)",,1,,215,223,"journal article","stated without evidence",English,,,,,"2012-05-24 18:49:07","2012-05-24 18:49:07"
"M. Carrano","M. Carrano",,38131,"L. A.",Nessov,,,,1985,"Redkie kostnye ryby, nazemiye yashcheritsy i mlekopitayushchie zony limanov i primorskikh nizmennostey mela Kyzylkumov [Rare bony fishes, terrestrial lizards, and mammals in the estuarine and coastal lowland zone of the Kyzyl-Kum Cretaceous]","Yearbook of the All-Union Paleontological Association",,28,,199,219,"journal article","stated with evidence",Russian,,,,,"2011-10-13 08:43:26","2011-10-13 08:43:26"
"M. Carrano","M. Carrano",,38153,"L. A.",Nessov,,,,1985,"Novye mlekopitayushchie Mela Kyzylkumov [New mammals from the Cretaceous of Kyzyl-Kum]","Vestnik Leningradskogo Universiteta, Geologiia, Geografiia, series 7",,17,,8,18,"journal article","stated with evidence",Russian,,,,,"2011-10-14 02:59:49","2011-10-14 02:59:49"
"M. Carrano","M. Carrano",,38156,"L. A.",Nessov,,,,1986,"Pervaya nakhodka pozdnemelovoy ptitsy-ikhtiornisa v starom svete i nekotorye drugie kosti ptits iz Mela i Paleogena spedney Azii [The first record of the Late Cretaceous bird Ichthyornis in the Old World and some other bird bones from the Cretaceous and Paleogene of Central Asia]","Trudy Zoologicheskogo Instituta Akademiy Nauk SSSR",,147,,31,38,"journal article","stated with evidence",Russian,,,,,"2011-10-14 06:49:01","2011-10-14 06:49:01"
"M. Carrano","M. Carrano",,38159,"L. A.",Nessov,,,,1987,"Rezultaty poiskov i issledovaniya Melovykh i Rannepaleogenovykh mlekopitayushikh na territorii SSSR [Results of searches and investigations of Cretaceous and early Paleogene mammals in the territory of the USSR]","Ezhegodnik Vzezoyuznaya Paleontologicheskiy Obshchevstvo",,30,,199,218,"journal article","stated with evidence",Russian,,,,,"2011-10-14 07:56:14","2011-10-14 07:56:14"
"E. Fara","E. Fara",,19868,"L. A.",Nessov,,,,1988,"Late Mesozoic amphibians and lizards of Soviet Middle Asia","Acta Zoologica Cracoviensia",,31,14,475,486,"journal article","stated without evidence",English,,,,,"2007-02-09 02:54:16","2007-02-09 21:54:34"
"M. Carrano","M. Carrano",,38168,"L. A.",Nessov,,,,1990,"Melkiy ikhtiornis i drugie nakhodki kostey ptits v Bissektinskoy Svite (Verkhniy Mel) tsentral'nykh Kyzylkumov [A small ichthyornithiform and other bird remains from the Bissekty Formation (Upper Cretaceous) of the central Kyzyl-Kum Desert]","Trudy Zoologicheskogo Instituta Akademiy Nauk SSSR",,210,,59,62,"journal article","stated with evidence",Russian,,,,,"2011-10-15 06:30:39","2011-10-15 06:30:39"
"M. Carrano","K. Maguire","M. Carrano",16510,"L. A.",Nessov,,,,1995,"Dinozavri severnoi Yevrazii: Novye dannye o sostave kompleksov, ekologii i paleobiogeografii [Dinosaurs of northern Eurasia: new data about assemblages, ecology, and paleobiogeography]","Institute for Scientific Research on the Earth's Crust, St. Petersburg State University, St. Petersburg",,,,1,156,"book/book chapter","stated without evidence",Russian,,,ETE,,"2006-01-25 12:58:07","2006-11-16 09:35:09"
"R. Benson","R. Benson","M. Carrano",39261,"L. A.",Nessov,,,,1997,,"Nemorskiye Pozvonochnyye Melovogo Perioda Severnoy Yevrazii [Cretaceous Non-Marine Vertebrates of Northern Eurasia]","L. B. Goloneva & A. O. Averianov",,,1,218,book,"stated without evidence",Russian,,,,,"2012-01-09 23:50:55","2014-07-12 05:56:01"
"J. Alroy","J. Alroy","R. Benson",2649,"L. A.",Nessov,"J. D.",Archibald,"Z. Kielan-Jaworowska",1998,"Ungulate-like mammals from the Late Cretaceous of Uzbekistan and a phylogenetic analysis of Ungulatomorpha","Bulletin of Carnegie Museum of Natural History",,34,,40,88,"journal article","stated without evidence",English,,,,,"2001-03-02 15:01:30","2012-01-10 02:18:01"
"R. Benson","R. Benson",,39415,"L. A.",Nessov,D.,Sigogneau-Russell,"D. E. Russell",1994,"A survey of Cretaceous tribosphenic mammals from middle Asia (Uzbekistan, Kazakhstan and Tajikistan), of their geological setting, age and faunal environment",Palaeovertebrata,,23,,51,92,"journal article","stated without evidence",English,,,,,"2012-01-12 20:36:25","2012-01-12 20:36:25"
"M. Carrano","M. Carrano",,38130,"L. A.",Nessov,"A. A.",Yarkov,,1989,"Novye ptitsy Mela-Paleogena SSSR i nekotorye zamechaniya po istorii vozniknoveniya i evolyutsii klassa [New Cretaceous-Paleogene birds of the USSR and some remarks on the origin and evolution of the Class Aves]","Fauna i Ekologiya Ptits Evrazii [Faunistic and Ecological Studies of Eurasian Birds]. Trudy Zoologicheskogo Instituta, Akademiya Nauk SSSR","R. L. Potapov",197,,78,97,"book/book chapter","stated with evidence",Russian,,,,,"2011-10-13 08:13:46","2011-10-13 08:13:46"
"E. Fara","E. Fara","E. Fara",13343,A.,Nevo,,,,1956,"Fossil frogs from a Lower Cretaceous bed in southern Israel (Central Negev)",Nature,,178,4543,1191,1192,"journal article","stated without evidence",,,,,,"2005-04-24 03:24:29","2005-04-24 20:24:29"
"E. Fara","E. Fara","E. Fara",13344,A.,Nevo,,,,1964,"Fossil urodeles in Early Lower Cretaceous deposits of Makhtesh Ramon, Israel",Nature,,201,4917,415,416,"journal article","stated without evidence",,,,,,"2005-04-24 03:32:04","2005-04-24 20:32:04"
"A. Behrensmeyer","A. Behrensmeyer","J. Alroy",5727,E.,Nevo,,,,1968,"Pipid frogs from the early Cretaceous of Israel and pipid evolution","Bulletin of the Museum of Comparative Zoology",,136,80,255,318,"journal article","stated with evidence",English,,"ETE reference number 1483",ETE,1483,"2002-02-25 06:34:10","2008-11-09 03:38:34"
"J. Alroy","J. Alroy",,28355,E.,Nevo,R.,Estes,,1969,"Ramonellus longispinus, an Early Cretaceous salamander from Israel",Copeia,,1969,3,540,547,"journal article","stated with evidence",English,,,,,"2008-10-29 16:47:27","2008-10-30 10:47:27"
"M. Carrano","M. Carrano",,49934,N.,Peng,Y.,Liu,"H. Kuang, X. Jiang, H. Xu",2012,"Stratigraphy and geochronology of vertebrate fossil-bearing Jurassic strata from Linglongta, Jianchang county, western Liaoning, northeastern China","Acta Geologica Sinica",,86,6,1326,1339,"journal article","stated without evidence",English,,,,,"2014-01-24 16:21:45","2014-01-25 09:21:45"
