collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,subepoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
48325,Fossilworks,"J. Alroy",,Triturus,cf.,marmoratus,,,,,43885,2009,Germany,Baden-Württemberg,48.663611,10.229167,48.92,8.82,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,"Upper Freshwater Molasse",
49096,PaleoDB,"J. Head",,Chelotriton,"n. sp.",pliocenicus,,,,,19698,1986,France,,43.461111,3.685000,43.53,3.42,"Late/Upper Pliocene",Piacenzian,"Cenozoic 6",Pliocene,3.600,3.094,,
49096,PaleoDB,"J. Head",,Triturus,,marmoratus,,,,,19698,1986,France,,43.461111,3.685000,43.53,3.42,"Late/Upper Pliocene",Piacenzian,"Cenozoic 6",Pliocene,3.600,3.094,,
49102,PaleoDB,"M. Uhen",,Andrias,,scheuchzeri,,,,,13125,1986,Germany,Baden-Württemberg,48.351389,9.858333,48.59,8.37,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,"Brackwater Molasse","Grimmelfinger Schichten"
49360,PaleoDB,"A. Turner",,Triturus,,sp.,,,,,13151,1986,Italy,Piedmont,44.913056,8.032778,44.84,7.97,"Late/Upper Pliocene",Piacenzian,"Cenozoic 6",Pliocene,3.200,2.894,,
49360,PaleoDB,"A. Turner",,Salamandra,,sp.,,,,,13151,1986,Italy,Piedmont,44.913056,8.032778,44.84,7.97,"Late/Upper Pliocene",Piacenzian,"Cenozoic 6",Pliocene,3.200,2.894,,
49812,PaleoDB,"A. Turner",,Triturus,,sp.,,,,,13377,2005,Italy,Basilicata,40.248333,16.271944,40.25,16.27,"Middle Pleistocene",,"Cenozoic 6",Pleistocene,0.781,0.4535,,
49816,PaleoDB,"A. Turner",,Triturus,,vulgaris,,,,,13380,1995,"United Kingdom",Norfolk,52.940556,1.246667,52.94,1.25,"Middle Pleistocene",,"Cenozoic 6",Pleistocene,0.781,0.4535,"Cromer Forest Bed","Freshwater Bed"
49816,PaleoDB,"A. Turner",,Triturus,,cristatus,,Triton,,cristatus,13380,1995,"United Kingdom",Norfolk,52.940556,1.246667,52.94,1.25,"Middle Pleistocene",,"Cenozoic 6",Pleistocene,0.781,0.4535,"Cromer Forest Bed","Freshwater Bed"
51002,PaleoDB,"M. Uhen",,Salamandra,,sansaniensis,,,,,13612,2004,Austria,,48.634722,16.061111,48.01,15.68,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",15.970,14.81,Grund,
52312,ETE,"M. Carrano",,Apricosiren,,sp.,,,,,8338,1988,"United Kingdom",England,50.610833,-2.029722,41.47,7.83,,Berriasian,"Cretaceous 1",Berriasian,145.500,142.85,Lulworth,"Worbarrow Tout"
53148,ETE,"M. Carrano",,Kiyatriton,,leschinskiyi,,,,,8702,2002,"Russian Federation",Krasnoyarsk,56.516667,91.816667,56.05,88.10,,,"Cretaceous 2",,136.400,130.925,Ilek,
57124,ETE,"M. Carrano",,Marmorerpeton,,sp.,,,,,31250,1992,"United Kingdom",England,50.70793,-2.77886,40.28,7.95,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Forest Marble",
57125,ETE,"M. Carrano",,Marmorerpeton,,sp.,,,,,31250,1992,"United Kingdom",England,50.67889,-2.659496,40.25,8.06,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Forest Marble",
57139,ETE,"M. Carrano",,Marmorerpeton,,sp.,,,,,10557,1994,"United Kingdom",England,51.733333,-1.983333,41.34,8.50,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,"Forest Marble",
58983,PaleoDB,"M. Uhen",,Salamandra,,sansaniensis,,,,,23390,2002,Slovakia,Bratislava,48.2014,17.97767,47.68,17.64,"Middle Miocene",Serravallian,"Cenozoic 5","Middle Miocene",13.650,12.629,,Sandberg
59129,PaleoDB,"J. Head",cf.,Salamandra,,sp.,,,,,16873,1997,France,Gard,43.400000,6.050000,40.31,2.45,"Middle Eocene",Lutetian,"Cenozoic 2",Lutetian,48.600,44.5,,
60281,PaleoDB,"J. Head",,Triturus,,sp.,,,,,16853,2003,France,,44.216667,1.716667,43.93,-0.91,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
60281,PaleoDB,"J. Head",,Chelotriton,,paradoxus,,,,,16853,2003,France,,44.216667,1.716667,43.93,-0.91,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
60281,PaleoDB,"J. Head",,Salamandra,,sansaniensis,,,,,16853,2003,France,,44.216667,1.716667,43.93,-0.91,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
61890,ETE,"M. Carrano",,Marmorerpeton,,kermacki,,,,,10557,1994,"United Kingdom",Scotland,57.172500,-6.103889,46.58,4.60,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,Kilmaluag,
61891,ETE,"M. Carrano","n. gen.",Urupia,"n. sp.",monstrosa,,,,,17882,2006,"Russian Federation",Krasnoyarsk,55.650000,89.183333,58.17,86.69,,Bathonian,"Jurassic 4",Bathonian,167.700,166.2,Itat,Upper
67985,PaleoDB,"M. Carrano","n. gen.",Galverpeton,"n. sp.",ibericum,,,,,19446,1982,Spain,Teruel,40.666667,-0.666667,30.62,9.35,,Barremian,"Cretaceous 2",Barremian,130.000,127.725,"El Castellar",
68428,PaleoDB,"M. Uhen",,Palaeoproteus,,gallicus,,,,,29562,1981,France,Champagne-Ardenne,49.266667,4.150000,43.77,1.71,"Late/Upper Paleocene",Thanetian,"Cenozoic 1",Thanetian,58.700,57.25,Cernay,
68440,PaleoDB,"M. Uhen",cf.,Triturus,,sp.,,,,,47934,1992,France,Picardie,49.540278,3.413889,45.01,0.73,"Early/Lower Eocene",Ypresian,"Cenozoic 2",Ypresian,55.800,52.2,,
69098,PaleoDB,"L. van den Hoek Ostende",,Chelotriton,,sp.,,,,,19926,1980,Germany,Baden-Württemberg,48.484444,10.098333,48.72,8.60,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,"Brackwater Molasse","Kirchberg beds"
69098,PaleoDB,"L. van den Hoek Ostende",,Mioproteus,,caucasicus,,,,,19926,1980,Germany,Baden-Württemberg,48.484444,10.098333,48.72,8.60,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,"Brackwater Molasse","Kirchberg beds"
69098,PaleoDB,"L. van den Hoek Ostende",,Andrias,,scheuchzeri,,,,,19926,1980,Germany,Baden-Württemberg,48.484444,10.098333,48.72,8.60,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,"Brackwater Molasse","Kirchberg beds"
70332,PaleoDB,"M. Uhen",,Mioproteus,,caucasicus,,,,,23602,2001,Germany,,48.335000,9.808889,48.46,7.96,"Early/Lower Miocene",,"Cenozoic 5","Lower Miocene",23.030,19.5,,
70332,PaleoDB,"M. Uhen",,Andrias,,scheuchzeri,,,,,23602,2001,Germany,,48.335000,9.808889,48.46,7.96,"Early/Lower Miocene",,"Cenozoic 5","Lower Miocene",23.030,19.5,,
70337,PaleoDB,"M. Uhen",,Andrias,,scheuchzeri,,,,,23602,2001,Germany,,48.335000,9.808889,48.46,7.96,"Early/Lower Miocene",,"Cenozoic 5","Lower Miocene",23.030,19.5,,
70338,PaleoDB,"M. Uhen",,Andrias,,scheuchzeri,,,,,23602,2001,Germany,,48.322778,10.016389,48.45,8.17,"Early/Lower Miocene",,"Cenozoic 5","Lower Miocene",23.030,19.5,,
71942,Fossilworks,"J. Alroy",,Chelotriton,,robustus,,,,,24323,1996,Germany,Rheinland-Pfalz,50.616667,7.883333,50.45,4.96,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
75481,PaleoDB,"L. van den Hoek Ostende",,Chelotriton,informal,"sp. type I",,,,,55045,2004,Hungary,Borsod-Abaúj-Zemplén,48.393056,20.637500,48.02,20.40,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,Edelény,
75481,PaleoDB,"L. van den Hoek Ostende",,Mioproteus,,caucasicus,,,,,55045,2004,Hungary,Borsod-Abaúj-Zemplén,48.393056,20.637500,48.02,20.40,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,Edelény,
75481,PaleoDB,"L. van den Hoek Ostende",,Chelotriton,informal,"sp. type II",,,,,55045,2004,Hungary,Borsod-Abaúj-Zemplén,48.393056,20.637500,48.02,20.40,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,Edelény,
84364,PaleoDB,"L. van den Hoek Ostende",,Triturus,,roehrsi,,,,,28268,2008,Germany,Bavaria,50.276944,9.795278,50.15,6.88,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
84364,PaleoDB,"L. van den Hoek Ostende",,Chioglossa,cf.,meini,,,,,28268,2008,Germany,Bavaria,50.276944,9.795278,50.15,6.88,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
84364,PaleoDB,"L. van den Hoek Ostende",,Andrias,,scheuchzeri,,,,,28268,2008,Germany,Bavaria,50.276944,9.795278,50.15,6.88,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
84364,PaleoDB,"L. van den Hoek Ostende",aff.,Chelotriton,,sp.,,,,,28268,2008,Germany,Bavaria,50.276944,9.795278,50.15,6.88,"Late/Upper Oligocene",Chattian,"Cenozoic 4",Chattian,28.400,25.715,,
