collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,epoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
14514,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,1129,1982,"United States",Wyoming,41.5683,-108.6678,48.87,-84.54,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14514,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,1129,1982,"United States",Wyoming,41.5683,-108.6678,48.87,-84.54,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14514,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1129,1982,"United States",Wyoming,41.5683,-108.6678,48.87,-84.54,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14514,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,,,,1129,1982,"United States",Wyoming,41.5683,-108.6678,48.87,-84.54,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14515,Fossilworks,"J. Alroy",,Scapherpeton,,sp.,,,,,3198,1965,"United States",Montana,47.6,-107,54.37,-80.08,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,66.9,66.8,"Hell Creek",
14515,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,3198,1965,"United States",Montana,47.6,-107,54.37,-80.08,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,66.9,66.8,"Hell Creek",
14519,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14519,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14519,Fossilworks,"J. Alroy",,Piceoerpeton,,naylori,cf.,Piceoerpeton,,sp.,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14519,Fossilworks,"J. Alroy",,Lisserpeton,,bairdi,,,,,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14519,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14519,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,,,,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14519,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,Cuttysarkus,,mcnallyi,1239,1964,"United States",Wyoming,43.15,-104.5667,49.62,-79.42,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14522,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1239,1964,"United States",Wyoming,43.25,-104.65,49.73,-79.47,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14524,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,,,,1239,1964,"United States",Wyoming,43.2167,-104.5667,49.68,-79.40,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14524,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1239,1964,"United States",Wyoming,43.2167,-104.5667,49.68,-79.40,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14524,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,1239,1964,"United States",Wyoming,43.2167,-104.5667,49.68,-79.40,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14525,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5167,-106.9833,54.29,-80.11,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14527,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,1239,1964,"United States",Wyoming,43.0,-104.5,49.46,-79.41,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14527,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,1239,1964,"United States",Wyoming,43.0,-104.5,49.46,-79.41,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,Lance,
14533,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5667,-107.1,54.36,-80.21,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14534,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,960,1982,"United States",Montana,47.5667,-107.1,54.36,-80.21,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14534,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,960,1982,"United States",Montana,47.5667,-107.1,54.36,-80.21,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
14534,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,960,1982,"United States",Montana,47.5667,-107.1,54.36,-80.21,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"Hell Creek",
