collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
14524,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"Curiosity Point","United States",Wyoming,43.2167,-104.5667,49.68,-79.40,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14525,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Dry Fork Coulee","United States",Montana,47.5167,-106.9833,54.29,-80.11,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14527,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"Dwarf Lighthouse (UCMP V-5622)","United States",Wyoming,43.0,-104.5,49.46,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14527,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Dwarf Lighthouse (UCMP V-5622)","United States",Wyoming,43.0,-104.5,49.46,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14533,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Engdahl Anthills 1","United States",Montana,47.5667,-107.1,54.36,-80.21,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14534,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,960,1982,"Engdahl Anthills 2","United States",Montana,47.5667,-107.1,54.36,-80.21,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14534,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,960,1982,"Engdahl Anthills 2","United States",Montana,47.5667,-107.1,54.36,-80.21,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14534,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Engdahl Anthills 2","United States",Montana,47.5667,-107.1,54.36,-80.21,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14535,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Engdahl Anthills 3","United States",Montana,47.55,-107.1,54.34,-80.22,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14535,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,960,1982,"Engdahl Anthills 3","United States",Montana,47.55,-107.1,54.34,-80.22,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
