generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
108000000,9,48.4797,-2998.04,10.7741,0.0058869,0.381
108500000,10,60.3065,-2999.31,11.0856,0.004995,0.3505
109000000,11,66.1637,-2996.1,12.214,0.00571238,0.323
109500000,8,50.1068,-3000.06,17.3001,0.00500744,0.367
110000000,9,54.1919,-3005.47,8.96277,0.00484657,0.362
110500000,16,93.8161,-2998.29,13.6414,0.00448638,0.362
111000000,9,58.0474,-3000.02,11.8055,0.00457932,0.352
111500000,8,52.9783,-3005.45,10.6119,0.00591202,0.397
112000000,7,38.9508,-3003.81,5.41198,0.00483589,0.351
112500000,10,54.8709,-2990.53,12.4464,0.00520612,0.352
113000000,10,50.2507,-2986.22,10.1107,0.00450792,0.362
113500000,8,52.6612,-3016.09,8.24156,0.00523509,0.355
114000000,13,85.0264,-2995.56,12.4787,0.00535806,0.345
114500000,11,59.2332,-2999.15,12.6385,0.00478766,0.334
115000000,11,68.701,-2998.83,6.97553,0.00520091,0.359
115500000,9,48.2712,-2991.41,16.8995,0.00547513,0.346
116000000,8,44.5568,-2995.84,11.9661,0.00509417,0.361
116500000,15,87.5028,-2991.08,10.7437,0.00557621,0.354
117000000,8,49.833,-2991.17,1.86369,0.00451854,0.304
117500000,11,57.0614,-2995.61,19.7306,0.00527422,0.355
118000000,8,49.312,-3005.38,8.41874,0.00495366,0.36
118500000,7,39.2293,-2995.29,5.11959,0.0053118,0.335
119000000,8,51.4501,-3007.3,3.68801,0.005068,0.353
119500000,10,57.3624,-2996.66,11.415,0.00494389,0.327
120000000,9,44.8487,-3010.41,8.99761,0.00567677,0.372
120500000,10,63.5757,-3002.32,11.6845,0.00412728,0.37
121000000,12,70.5416,-2989.98,11.3788,0.00591832,0.363
121500000,8,48.7401,-3007.07,12.0479,0.00654373,0.35
