generation,N_shifts,logPrior,logLik,eventRate,acceptRate
645000000,28,161.251,43.6313,23.2916,0.241
646000000,57,346.496,30.9556,45.8519,0.292
647000000,39,228.235,22.3151,41.4536,0.238
648000000,61,364.073,43.5787,51.1028,0.25
649000000,41,253.534,24.4011,36.6985,0.245
650000000,38,213.545,8.28354,35.8122,0.2565
651000000,54,307.2,35.5885,66.5716,0.25
652000000,36,202.948,-5.8822,30.6694,0.2495
653000000,47,282.425,48.8721,42.885,0.229
654000000,46,278.588,53.4239,36.997,0.245333
655000000,45,262.093,26.4883,37.7278,0.2585
656000000,29,171.444,35.1733,23.3373,0.236
657000000,39,220.804,11.1893,30.6945,0.257
658000000,28,175.504,20.0025,39.585,0.25875
659000000,52,320.099,62.3113,52.718,0.227
660000000,29,173.401,6.31966,25.3636,0.234
661000000,46,268.852,46.9671,52.6779,0.266
662000000,22,128.138,20.8903,18.5193,0.244
663000000,32,196.836,7.67736,20.6296,0.2425
664000000,25,144.32,30.3703,28.8678,0.241
665000000,57,332.1,79.1229,53.1034,0.242
666000000,24,151.831,27.2558,21.6227,0.239
667000000,49,292.051,37.0279,52.4092,0.2495
668000000,25,159.11,26.9641,25.2697,0.2245
669000000,30,177.951,15.6151,37.4684,0.246
670000000,65,399.759,20.1141,56.4073,0.2465
671000000,42,244.829,32.9926,49.3618,0.2485
672000000,38,243.55,32.3403,39.4507,0.244
673000000,59,363.916,17.5871,56.608,0.248
674000000,38,219.496,27.7305,36.15,0.240667
675000000,29,176.466,43.8742,37.823,0.2325
676000000,22,119.243,9.17017,19.8578,0.261
677000000,81,481.213,37.9989,84.3223,0.2495
678000000,29,175.202,-10.1578,23.7418,0.27
679000000,45,264.777,35.8207,41.3508,0.219667
680000000,22,129.145,9.16421,20.7664,0.237
681000000,35,203.023,20.5448,36.4726,0.246
682000000,40,238.304,47.8002,40.2339,0.237
683000000,41,244.299,49.9277,54.021,0.27
684000000,39,228.966,24.8792,33.8714,0.2355
685000000,44,258.505,30.227,41.227,0.232
686000000,46,266.25,-6.76196,48.409,0.245
687000000,33,204.803,27.4126,37.0235,0.232
688000000,63,368.219,26.2281,59.9747,0.234
689000000,21,122.904,15.7979,21.9267,0.2345
690000000,57,331.11,82.1498,62.0279,0.231
691000000,37,228.367,29.8958,38.3483,0.2405
692000000,19,113.005,15.9108,20.4365,0.22
693000000,34,193.708,10.1719,23.626,0.249
694000000,29,173.918,5.08255,28.1404,0.2405
695000000,43,257.945,70.2632,48.2351,0.220333
696000000,27,162.578,45.2588,28.917,0.241
697000000,32,184.002,35.0459,37.8112,0.22
698000000,33,199.323,-15.3185,32.8686,0.263
699000000,41,241.737,27.3099,35.7698,0.2475
700000000,51,285.392,23.2771,48.1686,0.247
701000000,59,353.545,55.2502,47.9096,0.2275
702000000,40,235.369,31.4325,33.9368,0.24
703000000,67,408.632,51.2436,61.1799,0.2405
704000000,37,216.694,14.6662,37.2134,0.2405
705000000,48,291.353,28.8693,45.2478,0.238
706000000,22,129.935,36.5356,25.5692,0.223
707000000,65,393.116,39.8012,71.1402,0.239
708000000,21,122.432,49.2401,21.0485,0.22425
709000000,72,408.085,53.0625,71.7911,0.236
710000000,11,62.5903,6.14515,16.8105,0.2545
711000000,29,180.475,24.7056,41.6607,0.2495
712000000,55,312.632,7.25474,58.7551,0.246
713000000,58,360.157,32.3675,52.0951,0.256
714000000,16,93.9751,-9.59536,16.5376,0.2544
715000000,42,246.766,38.6956,49.1527,0.2355
716000000,29,177.196,19.3814,22.1194,0.2536
717000000,28,171.1,11.2429,30.3591,0.2235
718000000,50,296.58,39.672,47.267,0.233
719000000,41,253.715,16.953,38.8887,0.2635
720000000,38,234.189,25.6323,30.7402,0.259
721000000,70,425.975,40.922,71.1908,0.231
722000000,36,224.163,46.2283,43.586,0.235667
723000000,46,268.499,46.2536,39.5051,0.24
724000000,22,121.352,9.61587,29.6175,0.255
725000000,29,166.546,26.1101,23.252,0.2395
726000000,65,385.731,-9.4862,59.2563,0.266
727000000,70,404.747,29.1346,67.8928,0.251
728000000,31,174.467,13.1077,28.3313,0.2675
729000000,49,297.12,57.6866,52.4363,0.276
730000000,49,293.559,20.1801,46.1404,0.238
731000000,36,207.887,37.5198,43.3045,0.239
732000000,55,337.808,22.7745,53.4357,0.244
733000000,44,270.884,43.2296,30.6105,0.23
734000000,53,316.674,22.414,67.8357,0.252
735000000,75,444.869,62.6556,69.7853,0.256
736000000,27,163.61,32.1865,21.5304,0.2395
737000000,41,235.151,43.3625,41.8749,0.252
738000000,31,180.996,49.1452,33.8607,0.243
739000000,52,311.646,29.333,57.5427,0.243
740000000,54,328.202,39.2424,49.2056,0.235
741000000,27,158.713,-28.6546,30.7288,0.269
742000000,33,197.163,28.3839,39.5566,0.2485
743000000,60,344.277,68.7163,59.6641,0.233
744000000,21,125.703,16.2705,19.8788,0.253
745000000,56,338.054,40.6212,70.3311,0.228
746000000,34,207.204,22.3909,44.0572,0.244
747000000,38,219.758,39.9831,46.244,0.227
748000000,28,169.547,33.7906,32.2943,0.225
749000000,27,162.703,-10.26,23.4833,0.2565
750000000,37,222.984,13.8248,43.8067,0.241167
751000000,45,264.511,36.2109,53.0837,0.253
752000000,55,334.022,49.9961,50.0695,0.244
753000000,27,156.507,40.75,33.9336,0.225
754000000,54,327.224,47.6107,46.3473,0.253
755000000,44,260.996,13.3938,36.0259,0.244
756000000,39,228.167,23.7571,43.14,0.248
757000000,64,376.585,9.63373,60.1482,0.2515
