tree$tip.label	ENA	WNA	NEO	EUR	CASIA	EASIA
Eurycea_tridentifera	1	0.001	0.001	0.001	0.001	0.001
Batrachoseps_wrighti	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_campi	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_kawia	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_relictus	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_regius	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_diabolicus	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_attenuatus	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_gregarius	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_simatus	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_nigriventris	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_gabrieli	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_gavilanensis	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_luciae	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_minor	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_incognitus	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_pacificus	0.001	1	0.001	0.001	0.001	0.001
Batrachoseps_major	0.001	1	0.001	0.001	0.001	0.001
Nyctanolis_pernix	0.001	0.001	1	0.001	0.001	0.001
Dendrotriton_rabbi	0.001	0.001	1	0.001	0.001	0.001
Dendrotriton_cuchumatanus	0.001	0.001	1	0.001	0.001	0.001
Dendrotriton_sanctibarbarus	0.001	0.001	1	0.001	0.001	0.001
Dendrotriton_xolocalcae	0.001	0.001	1	0.001	0.001	0.001
Dendrotriton_bromeliacius	0.001	0.001	1	0.001	0.001	0.001
Dendrotriton_megarhinus	0.001	0.001	1	0.001	0.001	0.001
Nototriton_barbouri	0.001	0.001	1	0.001	0.001	0.001
Nototriton_brodiei	0.001	0.001	1	0.001	0.001	0.001
Nototriton_stuarti	0.001	0.001	1	0.001	0.001	0.001
Nototriton_lignicola	0.001	0.001	1	0.001	0.001	0.001
Nototriton_limnospectator	0.001	0.001	1	0.001	0.001	0.001
Nototriton_richardi	0.001	0.001	1	0.001	0.001	0.001
Nototriton_saslaya	0.001	0.001	1	0.001	0.001	0.001
Nototriton_guanacaste	0.001	0.001	1	0.001	0.001	0.001
Nototriton_picadoi	0.001	0.001	1	0.001	0.001	0.001
Nototriton_abscondens	0.001	0.001	1	0.001	0.001	0.001
Nototriton_gamezi	0.001	0.001	1	0.001	0.001	0.001
Thorius_minutissimus	0.001	0.001	1	0.001	0.001	0.001
Thorius_dubitus	0.001	0.001	1	0.001	0.001	0.001
Thorius_magnipes	0.001	0.001	1	0.001	0.001	0.001
Thorius_troglodytes	0.001	0.001	1	0.001	0.001	0.001
Cryptotriton_alvarezdeltoroi	0.001	0.001	1	0.001	0.001	0.001
Cryptotriton_nasalis	0.001	0.001	1	0.001	0.001	0.001
Cryptotriton_veraepacis	0.001	0.001	1	0.001	0.001	0.001
Bradytriton_silus	0.001	0.001	1	0.001	0.001	0.001
Oedipina_quadra	0.001	0.001	1	0.001	0.001	0.001
Oedipina_kasios	0.001	0.001	1	0.001	0.001	0.001
Oedipina_gephyra	0.001	0.001	1	0.001	0.001	0.001
Oedipina_tomasi	0.001	0.001	1	0.001	0.001	0.001
Oedipina_maritima	0.001	0.001	1	0.001	0.001	0.001
Oedipina_complex	0.001	0.001	1	0.001	0.001	0.001
Oedipina_parvipes	0.001	0.001	1	0.001	0.001	0.001
Oedipina_elongata	0.001	0.001	1	0.001	0.001	0.001
Oedipina_alleni	0.001	0.001	1	0.001	0.001	0.001
Oedipina_savagei	0.001	0.001	1	0.001	0.001	0.001
Oedipina_carablanca	0.001	0.001	1	0.001	0.001	0.001
Oedipina_stenopodia	0.001	0.001	1	0.001	0.001	0.001
Oedipina_grandis	0.001	0.001	1	0.001	0.001	0.001
Oedipina_leptopoda	0.001	0.001	1	0.001	0.001	0.001
Oedipina_collaris	0.001	0.001	1	0.001	0.001	0.001
Oedipina_pseudouniformis	0.001	0.001	1	0.001	0.001	0.001
Oedipina_cyclocauda	0.001	0.001	1	0.001	0.001	0.001
Oedipina_poelzi	0.001	0.001	1	0.001	0.001	0.001
Oedipina_gracilis	0.001	0.001	1	0.001	0.001	0.001
Oedipina_uniformis	0.001	0.001	1	0.001	0.001	0.001
Oedipina_pacificensis	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_dimidiatus	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_lavae	0.001	0.001	1	0.001	0.001	0.001
