treeN,data,pleth,clade,stem,crown,gcr_stem,gcr_crown,epsilon_stem,epsilon_crown,exN,rstem.stem,rcrown.crown,rstem_hi.stem,rcrown_hi.crown,rstem_lo.stem,rcrown_lo.crown
37,fossil,0,Dicamptodontidae,113.960105,6.13521600000007,0.0105924166679053,0.011571687357064,0.792829421419249,0.79834189829758,4,0.00424147454341956,0.0570435932722536,0.00230224660171637,0.0330163099571273,0.0121647339752792,0.112978447793841
37,fossil,0,Hynobiidae,47.572039,69.5740300000001,0.058411911362113,0.0588730107317757,0.291934457347542,0.289656711082464,65.0000000001354,0.0806249166262694,0.0488392144890561,0.0420726132889102,0.0280247849946095,0.0877487565731148,0.0500364875994358
37,fossil,0,Plethodontidae,NA,NA,NA,NA,NA,NA,450.45045045045,NA,NA,NA,NA,NA,NA
37,fossil,0,Pleurodelinae,145.971079,49.1347860000001,0.0518331393747465,0.0518182690438164,0.508249725720126,0.508694612157588,98.0001100352113,0.026619489152398,0.0733035964275282,0.0162377697422775,0.047190487230163,0.031410116530537,0.0792070493787898
37,fossil,0,Proteidae,54.589606,108.316879,0.00795232478309713,0.00788892909487426,0.823887778508793,0.834474746708283,8,0.0147143383251506,0.00625237183306102,0.0097203165573712,0.00439232543524818,0.0380922614037521,0.0127985072494555
37,fossil,0,Rhyacotritonidae,79.042038,14.7538400000001,0.00774825692742648,0.00926080293248793,0.80672960513979,0.834494877496531,4,0.00578559647548298,0.020525071624184,0.00331930035087773,0.0137294557288088,0.0175386970806584,0.0469807982572633
37,fossil,0,Salamandrinae,145.971079,54.2604060000001,0.0418265868987395,0.0417009196012643,0.545986965820216,0.546625035563242,19.0000164666809,0.0151823345722687,0.0359772658099122,0.00705358905565624,0.018004689814699,0.0201713919360251,0.0414905237766473
37,fossil,0,Salamandrininae,136.810264,10.5831860000001,0.0242364030669384,0.0221503571133188,0.695305971056224,0.725025838143792,2,0.00194406870456003,0,0.000696659570836914,0,0.00506648522043598,0
37,fossil,0,Sirenidae,12.482039,43.2990470000001,0.00401416477500278,0.00215823486816675,0.92678856688333,0.955437938230055,4,0.0159069410998176,0.00228939671022146,0.0210193434315892,0.00467821365929668,0.111063133284545,0.0160083703588198
38,fossil,0,Ambystomatidae,113.228105,41.643784,0.0482149588988139,0.0522205425736411,0.384579541058214,0.363937557161965,34,0.0270173527977791,0.0649335711778361,0.0128820933874988,0.0337761435731964,0.0311438624236992,0.0680344837072494
